Name,Party,Office / District,Chamber,Status,Projected Start,Age,Birthdate,Education,Previous Professions,Campaign Receipts,Campaign Disbursements,Main Funding Sources,Core Campaigning Issues & Platform Focus,Projected/Historical Voting Alignment,Historical Committee Assignments (If any),Estimated Net Worth
Mike Collins,Republican,GA,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh Turek,Democrat,IA,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashley Hinson,Republican,IA,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam Hamilton,Democrat,KS,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Troy Jackson,Democrat,ME,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Abdul El-Sayed,Democrat,MI,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Rogers,Republican,MI,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alani Bankhead,Democrat,MT,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kurt Alme,Republican,MT,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seth Bodnar,Democrat,MT,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roy Cooper,Democrat,NC,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Whatley,Republican,NC,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Osborn,Independent,NE,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sherrod Brown,Democrat,OH,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Annie Andrews,Democrat,SC,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James Talarico,Democrat,TX,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ken Paxton,Republican,TX,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Everett Wess,Democrat,AL,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barry Moore,Republican,AL,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hallie Shoffner,Democrat,AR,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Baisley,Republican,CO,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Todd Achilles,Democrat,ID,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Juliana Stratton,Democrat,IL,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Don Tracy,Republican,IL,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charles Booker,Democrat,KY,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andy Barr,Republican,KY,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jamie Davis,Democrat,LA,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julia Letlow,Republican,LA,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Colom,Democrat,MS,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin Murphy,Republican,NJ,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Larry Marker,Republican,NM,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Hern,Republican,OK,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Smith,Republican,OR,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian Bengs,Democrat,SD,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marquita Bradshaw,Democrat,TN,Senate,Candidate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
